,TP,TN,FN,FP,TPR_mean,TPR_std,PPV_mean,PPV_std,FPR_mean,FPR_std,ACC_mean,ACC_std,PPF_mean,PPF_std,F1,MCC,RG,PG,ROC_AUC,PR_AUC,PRG_AUC,cutoff
only_age,87,3055,95,677,0.478021978021978,0.0370266436999217,0.1138743455497382,0.0114924843968449,0.1814040728831725,0.0063079390599015,0.8027593254982115,0.0063603425850057,0.1951967296882984,0.0063353516261291,0.1839323467230444,0.1575802984661685,0.9467482228874844,0.620511019945547,0.6970402989293665,0.1214385915173631,0.7588095126167506,0.7767767767767767
risc_score1,78,3251,104,481,0.4285714285714285,0.0366823279295068,0.1395348837209302,0.0146555502100908,0.1288853161843515,0.0054848981856814,0.8505365355135411,0.0056990648470028,0.1428206438426162,0.0055926924073799,0.2105263157894737,0.1803520002295732,0.9349767774205072,0.6992675955698464,0.7433590532895892,0.1394266698979975,0.8599973830669474,0.4454454454454454
LR,105,3057,77,675,0.5769230769230769,0.0366212302741863,0.1346153846153846,0.0122209405635046,0.1808681672025723,0.0063006760830717,0.8078691875319366,0.006297361448105,0.1992846193152785,0.006385068568011,0.2182952182952183,0.2087685695649809,0.964237227581279,0.6864951768488745,0.7536306137592311,0.1700632086994614,0.8595177314926584,0.0788156068464795
LR__exclude_hospital,102,3053,80,679,0.5604395604395604,0.0367906954563804,0.1306017925736235,0.0120575319727113,0.1819399785637727,0.0063151814980801,0.8060807358201328,0.0063195963233653,0.1995401124169647,0.0063881408383716,0.2118380062305295,0.1994188471393296,0.961751045541475,0.6753619990332682,0.7443273500347456,0.1534311015129081,0.8521162997440815,0.0728800915668386
LR__exclude_age,99,3053,83,679,0.5439560439560439,0.0369189687538085,0.1272493573264781,0.0119476664309216,0.1819399785637727,0.0063151814980801,0.805314256515074,0.0063290621168268,0.198773633111906,0.0063789117446745,0.20625,0.1910101870711436,0.9591141858022888,0.6655244838524581,0.7366553596457134,0.1562784234028705,0.8245633745367107,0.0731347180059878
LR__exclude_hospital__exclude_age,93,3043,89,689,0.510989010989011,0.0370535135464913,0.118925831202046,0.011575531886657,0.1846195069667738,0.0063510880614537,0.801226366888094,0.0063789117446745,0.199795605518651,0.0063912090224021,0.1929460580912863,0.1718706936731835,0.9533301063743964,0.6387016100220124,0.7233151360964867,0.1360742303228898,0.8153470826296557,0.0702648115383978
ML,98,3048,84,684,0.5384615384615384,0.036952650878097,0.1253196930946291,0.0118394344978668,0.1832797427652733,0.0063331981988425,0.8037812979049566,0.0063478804223704,0.199795605518651,0.0063912090224021,0.2033195020746888,0.187043644868991,0.9581993569131833,0.6596233348644924,0.7495612640307174,0.1534150627791694,0.8369988384260785,0.0998721525330426
ML__exclude_hospital,106,3059,76,673,0.5824175824175825,0.0365554931237277,0.1360718870346598,0.01228440930326,0.1803322615219721,0.0062933924964819,0.8086356668369954,0.0062877683604394,0.1990291262135922,0.0063819922054188,0.2206035379812695,0.2120494881682098,0.96503468219782,0.6903729094622743,0.7547627881229166,0.1421738910238527,0.8012702443102452,0.3139504495503349
ML__exclude_age,91,3045,91,687,0.5,0.037062465833055,0.1169665809768637,0.0115220477100963,0.1840836012861736,0.006343947268142,0.801226366888094,0.0063789117446745,0.198773633111906,0.0063789117446745,0.1895833333333333,0.1666866644489481,0.9512325830653804,0.6318327974276527,0.7265232088383213,0.153642317735706,0.8314866847532788,0.3820026640637717
ML__exclude_hospital__exclude_age,91,3044,91,688,0.5,0.037062465833055,0.1168164313222079,0.0115082351880827,0.1843515541264737,0.0063475201843968,0.8009708737864077,0.0063819922054188,0.1990291262135922,0.0063819922054188,0.1893860561914672,0.1664648966529901,0.9512325830653804,0.6312968917470525,0.7130151466968188,0.1256317531031525,0.7753014516199761,0.2321958036678171
ML__top_10,95,3048,87,684,0.521978021978022,0.0370266436999217,0.1219512195121951,0.0117242121118105,0.1832797427652733,0.0063331981988425,0.8030148185998978,0.0063572332697814,0.1990291262135922,0.0063819922054188,0.1977107180020811,0.1786207877237153,0.9553393129125064,0.6488745980707395,0.7321833445225727,0.1452530797107651,0.8220144643549073,0.3510210094586017
LR__top_10,96,3054,86,678,0.5274725274725275,0.0370064785116965,0.1240310077519379,0.0118478356852102,0.1816720257234726,0.0063115628418986,0.8048032703117016,0.0063353516261291,0.1977516607051609,0.0063665488010824,0.200836820083682,0.1828086856713235,0.9563125223294032,0.6555801178992497,0.7354849063048421,0.1363840261174558,0.817137810513555,0.0698955115324318
